DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.13052/jwe1540-9589.2158,,,Microservices Identification in Monolith Systems: Functionality Redesign Complexity and Evaluation of Similarity Measures,"As monolithic applications grow in size and complexity, they tend to show symptoms of monolithic hell, such as scalability and maintainability problems. To help suppressing these problems, the microservices architectural style is applied. However, identifying the services within the monolith is not an easy task, and current research approaches emphasize different qualities of microservices. In this paper we present an approach for the automatic identification of microservices, which minimizes the cost of the monolith’s functionalities redesign. The decompositions are generated based on similarity measures between the persistent domain entities of the monolith. An extensive analysis of the decompositions generated for 121 monolith systems is done. As result of the analysis we conclude that there is not a similarity measure, neither a combination of similarity measures, that provides better decomposition results in terms of complexity associated with the functionalities migration. However, we prove that it is possible to follow an incremental migration process of monoliths. Additionally, we conclude that there is a positive correlation between coupling and complexity, and that it is not possible to conclude on the existence of a correlation between cohesion and complexity.","Samuel Santos,António Rito Silva",Journal of Web Engineering,2022
10.1109/seai55746.2022.9832106,,,A Microservices Identification Approach based on Problem Frames,"As software grows in size continuously, traditional monolithic architecture is difficult to upgrade and update. As a more flexible architecture, microservices consist of smaller pieces or services that are loosely coupled and can be deployed independently. More and more IT companies are adopting microservices architecture. However, migrating to microservices is still a big challenge due to the lack of a more systematic methodology on microservices identification. Most existing studies on microservices identification are mainly based on refactoring the system module rather than considering the actual functional requirements. Therefore, we propose a microservices identification approach based on the problem frames to address this challenge, which considers real-world requirements. It relies on the merging process with the problem diagram, where the problem domain is processed, and the causal chain is obtained by searching the problem diagram. Subsequently, we calculate the correlation degree of the domains in the problem diagram. Then, based on the calculated correlation, we implement a clustering algorithm for the problem domains and get the categorization result of the problem domains which is the initial microservice candidate. The developers can consider each category of the problem domain as a microservice by converting the problem domains into the microservices. Finally, a case study verifies the validity of our proposed approach.","Zhumei Yang,Sijie Wu,Cheng Zhang",2022 IEEE 2nd International Conference on Software Engineering and Artificial Intelligence (SEAI),2022
10.48550/arxiv.2212.11657,,2212.11657,Code Vectorization and Sequence of Accesses Strategies for Monolith Microservices Identification,"Migrating a monolith application into a microservices architecture can benefit from automation methods, which speed up the migration and improve the decomposition results. One of the current approaches that guide software architects on the migration is to group monolith domain entities into microservices, using the sequences of accesses of the monolith functionalities to the domain entities. In this paper, we enrich the sequence of accesses solution by applying code vectorization to the monolith, using the \textit{Code2Vec} neural network model. We apply \textit{Code2Vec} to vectorize the monolith functionalities. We propose two strategies to represent a functionality, one by aggregating its call graph methods vectors, and the other by extending the sequence of accesses approach with vectorization of the accessed entities. To evaluate these strategies, we compare the proposed strategies with the sequence of accesses strategy and an existing approach that uses class vectorization. We run all these strategies over a large set of codebases, and then compare the results of their decompositions in terms of cohesion, coupling, and complexity.","Vasco Faria,António Rito Silva",International Conference on Web Engineering,2022
10.1111/exsy.13158,,,Expert system for automatic microservices identification using <scp>API</scp> similarity graph,,"Xiaoxiao Sun,Salamat Boranbaev,Shicong Han,Huanqiang Wang,Dongjin Yu",Expert Systems,2022
10.23919/cisti49556.2020.9141150,,,Microservices identification strategies : A review focused on Model-Driven Engineering and Domain Driven Design approaches,"A proper architectural design for a microservices system is crucial for its success. Although there are several design strategies to identify software components in general, microservices demands special consideration. In this context of distributed systems, the component size directly impacts on nonfunctional requirements, such as performance, flexibility, reusability, etc. Design practices of coupling and cohesion have to be fine-tuned to determine the ideal microservices granularity. In order to shed light on this question, this study conducted a Systematic Literature Review that investigates microservices identification proposals. From procedures and guidelines inspired by Kitchenham et al., a rigorous research protocol was defined and performed, that covers publications from 2013 to 2019. Starting with an initial screening of 715 papers, 27 studies were considered relevant to answer four research questions. Besides microservices decomposition strategies, this review underlines Model Driven Engineering and Domain Driven Design, once they represent valuable approaches to support this challenging task. Moreover, this work highlights that only a few studies had explored these approaches in their strategies, which opens promising potential for further research.","Roger Anderson Schmidt,Marcello Thiry,Marcello Thiry,Marcello Thiry,Marcello Thiry",Iberian Conference on Information Systems and Technologies,2020
10.1007/978-3-319-67262-5_2,,,Microservices Identification Through Interface Analysis,"The microservices architectural style is gaining more and more momentum for the development of applications as suites of small, autonomous, and conversational services, which are then easy to understand, deploy and scale. One of today’s problems is finding the adequate granularity and cohesiveness of microservices, both when starting a new project and when thinking of transforming, evolving and scaling existing applications. To cope with these problems, the paper proposes a solution based on the semantic similarity of foreseen/available functionality described through OpenAPI specifications. By leveraging a reference vocabulary, our approach identifies potential candidate microservices, as fine-grained groups of cohesive operations (and associated resources). We compared our approach against a state-of-the-art tool, sampled microservices-based applications and decomposed a large dataset of Web APIs. Results show that our approach is able to find suitable decompositions in some 80% of the cases, while providing early insights about the right granularity and cohesiveness of obtained microservices.","Luciano Baresi,Martin Garriga,Alan De Renzis",European Conference on Service-Oriented and Cloud Computing,2017
10.1145/3377929.3390030,,,Search-based many-criteria identification of microservices from legacy systems,"The expensive maintenance of legacy systems lead companies to migrate such systems to a microservice architecture. This migration requires the identification of microservice candidates, which requires analysis of many criteria. Existing search-based approaches to solve this problem are only based on the coupling and cohesion criteria. To overcome these limitations, we propose a many-objective search-based approach for identifying microservice candidates. Its five objectives correspond to criteria pointed as useful by experienced developers. Our approach was evaluated in the context of a legacy system. The results show that our approach is very similar on optimizing the traditional criteria of coupling and cohesion, but much better when taking into account the additional criteria.","Luiz Carvalho,A Garcia,Alessandro Garcia,Thelma Elita Colanzi,Thelma Elita Colanzi,Wesley K. G. Assunção,Maria Julia Lima,Maria Julia Lima,Maria Julia Lima,Maria Julia Lima,Maria Julia Lima,Maria Julia Lima,Maria Julia de Lima,Baldoino Fonseca,Márcio Garcia Ribeiro,Márcio Ribeiro,Carlos José Pereira de Lucena",GECCO Companion,2020
10.1109/icsa-c54293.2022.00030,,,A Systematic Literature Review on Migration to Microservices: a Quality Attributes perspective,"Today&#x2019;s system migration focuses on modernizing legacy and monolithic systems towards microservices&#x2019; architectures. This study aims at understanding if and how quality attributes improvement are explicitly driving the migration process. We designed and conducted a systematic literature review on the topic. We started from over 2.000 potentially relevant research papers. We applied a selection procedure resulting in 58 selected research papers over the last six years. Our study revealed the following main findings: i) while still limited, quality attributes-driven migration is getting some attention, especially during the microservices identification phase; ii) we related the migration phases to the subset of quality attributes found in the papers accepted for this systematic review.","Roberta Capuano,Henry Muccini",2022 IEEE 19th International Conference on Software Architecture Companion (ICSA-C),2022
10.1109/sose55356.2022.00008,,,Migrating Monoliths to Microservices based on the Analysis of Database Access Requests,"Many organizations seek to improve the maintainability and scalability of their computing systems by migrating from a conventional monolithic architecture to a microservice architecture (MSA). Note that service identification is the most crucial step in architecture migration. In the current study, we developed a microservice identification scheme based on analyzing database access to account for the importance of the pattern ""Database Per Service"" in microservices design. The proposed MIADA (Microservices Identification using Analysis for Database Access) system facilitates the clustering of service endpoints used in the identification and creation of microservices. The feasibility and efficacy of the proposed MIADA approach were evaluated using two existing service-oriented software projects, PlanApproval and CoCoME. The evaluation results show that the MIADA approach can effectively recommend appropriate clusters of service endpoints to construct microservices.","Shang-Pin Ma,Tsung-Wen Lu,Chung-Chieh Li",International Symposium on Service Oriented Software Engineering,2022
10.1109/access.2022.3182495,,,GreenMicro: Identifying Microservices from Use Cases in Greenfield Development,"Microservices architecture is a new paradigm for developing a software system as a collection of independent services that communicate through lightweight protocols. In greenfield development, identifying the microservices is not a trivial task, as there is no legacy code lying around and no old development to start with. Thus, identification of microservices from requirements becomes an important decision during the analysis and design phase. Use cases play a vital role in the requirements analysis modeling phases in a model-driven software engineering process. It is a technique of capturing high-level user functions and scope of the system. In this paper, we propose GreenMicro, an automatic microservice identification technique that utilizes the use cases model and the database entities. Both features are the artifacts of analysis and design phase that depict complete functionality of an overall system. In essence, a collection of related use cases indicates a bounded context of the system that can be grouped in a suitable way as microservices. Therefore, our approach GreenMicro clusters close-knit use cases to recover meaningful microservices. We investigate and validate our approach on an in-house proprietary web application and three sample benchmark applications. We have mapped our approach to state-of-the-art software quality assessment attributes and have presented the results. Preliminary results are motivating and the proposed methodology works as anticipated in producing functionally cohesive and loosely coupled microservice candidate recommendations. Our approach enables the system architects to identify microservice candidates at an early analysis and design phase of development.","Deepali Bajaj,Anita Goel,S. C. Gupta",IEEE Access,2022
